,Tipo Conexión,Tipo Carga,Tipo Corriente,Provincia
1243,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1244,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1245,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1246,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1247,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1248,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1249,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1250,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1251,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1252,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1253,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1254,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1255,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1256,MENNEKES.M,Carga Rápida (DC),AC,Tarragona
1257,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1258,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1259,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1260,MENNEKES.M,Carga Rápida (DC),AC,Tarragona
1261,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1262,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1263,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1264,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1265,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1266,CCS Combo2+ChadeMO+MENNEKES.M,ND 0kW,AC/DC,Barcelona
1267,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1268,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1269,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1270,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Tarragona
1271,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1272,,ND 0kW,AC,Lérida
1273,CCS Combo2,Carga Rápida (DC),DC,Lérida
1274,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1275,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1276,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1277,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1278,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1279,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1280,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1281,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Tarragona
1282,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1283,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1284,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1285,MENNEKES.F,ND 0kW,AC/DC,Barcelona
1286,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1287,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1288,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1289,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1290,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1291,Schuko,ND 0kW,AC,Barcelona
1292,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1293,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1294,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1295,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1296,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1297,CCS Combo2+ChadeMO+MENNEKES.M,ND 0kW,AC/DC,Barcelona
